stemID,species,dbh.cm,xdist,ydist,Jenkins_type
1069,TSHE,7.1,349.93,188.86,tf
1070,TABR,17.5,349.15,149.99,tf
1071,TSHE,41.7,346.1,151.08,tf
1072,TABR,14.2,332.81,150.98,tf
1073,TSHE,14.6,326.64,151.5,tf
1074,TSHE,29.5,325.32,153.11,tf
1075,TABR,6.8,325.77,154.65,tf
1076,ABGR,38.9,331.08,153.53,tf
1077,TABR,19.7,330.77,154.21,tf
1078,TSHE,10.9,328.31,154.93,tf
1079,TABR,9.4,333.67,154.94,tf
1085,TSHE,31.6,326.82,162.63,tf
1086,TSHE,6.9,325.92,163.44,tf
1089,TSHE,6.1,326.91,164.34,tf
1090,TSHE,5.2,327.74,164.88,tf
1091,TSHE,24.5,329.19,163.74,tf
1092,ABGR,48.5,326.73,166.98,tf
1097,THPL,105.8,328.54,173.8,cl
1098,TSHE,15.6,333.97,174.2,tf
1099,TSHE,8.5,334.27,174.03,tf
1101,TSHE,6,335.7,174.32,tf
1102,PSME,156.8,340.66,166.98,pm
1103,TABR,8.9,341.32,169.36,tf
1104,THPL,64.6,341.53,168.77,cl
1106,TSHE,14.1,339.27,173.91,tf
1107,TSHE,13,343.7,169.03,tf
1108,TSHE,6.4,342.48,174.19,tf
1109,TSHE,10.2,345.05,169.13,tf
1110,TSHE,34.7,348.13,167.37,tf
1112,PSME,100,310.94,150.13,pm
1114,TSHE,41.3,309.76,151,tf
1115,TABR,9.9,309.89,152.02,tf
1116,THPL,94.2,304.39,152.34,cl
1117,TSHE,8.5,300.05,153.94,tf
1118,THPL,9.2,300.17,156.46,cl
1119,TABR,11.7,307.24,157.59,tf
1120,ABAM,7.8,305.08,159.16,tf
1122,TSHE,80.5,302.39,165.26,tf
1124,TABR,9.6,315.08,155.24,tf
1125,TSHE,14.6,315.6,157.11,tf
1126,TSHE,8.8,312.18,159.35,tf
1127,TABR,9.1,313.37,162.54,tf
1128,THPL,21.6,303.94,169.27,cl
1129,TSHE,88.1,300.04,172.52,tf
1130,TABR,10.8,301.92,173.08,tf
1131,THPL,38,303.39,170.96,cl
1132,TSHE,55,320.53,155.56,tf
1133,TSHE,7.1,320.74,155.34,tf
1134,TSHE,73.1,311.45,167.65,tf
1136,TABR,17.9,307.79,173.65,tf
1138,PSME,81.4,316.94,164.39,pm
1139,TSHE,22.6,319.07,160.68,tf
1140,THPL,26.3,316.98,171.86,cl
1141,PSME,135.5,319,173.34,pm
1142,TSHE,8.4,324.24,153.4,tf
1143,RHPU,5.2,320.41,166.12,mh
1144,TABR,9.6,321.88,167.66,tf
1145,TSHE,11.4,322.87,161.26,tf
1146,PSME,102.2,323.68,169.87,pm
1147,TSHE,6.6,324.74,163.03,tf
1148,TABR,10.3,324.63,157.63,tf
1149,TSHE,33,373.44,175.35,tf
